field,value_en,value_cn
name,XU CHUYAN,徐楚燕
role_1,Creative Technologist,创意技术专家
role_2,Game Developer,游戏开发者
role_3,Interactive Artist,交互艺术家
bio,"Specializing in AI-driven experiences, Unity development, and real-time visual effects",专注于 AI 驱动体验、Unity 开发和实时视觉效果
stat_years_value,5+,5+
stat_years_label,Years,年经验
stat_publications_value,3,3
stat_publications_label,Publications,论文
stat_exhibitions_value,6+,6+
stat_exhibitions_label,Exhibitions,展览
stat_projects_value,10+,10+
stat_projects_label,Projects,项目
